Coluna_1;Coluna_2;Coluna_3;Coluna_4;Coluna_5;Coluna_6;Coluna_7;Coluna_8;Coluna_9;Coluna_10;Coluna_11;Coluna_12;Coluna_13;VALOR CERTO;VALOR_CALCULADO;VALOR_ORIGINAL;STATUS
=== RESUMO ===;Total Geral: 64616;Linhas processadas: 192;Total linhas: 192

Frete;55362/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;SUPERMERCADO AMERICA LTDA;São Paulo;5;139;139;6713;63;;106;106;106;OK
Frete;55377/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;209 - SUPERMERCADO X LTDA;São Paulo;35;852;852;32920;387;;648;648;648;OK
Frete;55373/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;CHURRASCARIA PAGLIARI LTDA;São Paulo;8;201;201;5159;91;;153;153;153;OK
Frete;55414/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;MERCADO SOBRAL II COMERCIO DE ALIMENTOS LTDA;Várzea Paulista;6;155;155;4860;70;;118;118;118;OK
Frete;55415/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;MERCADO SOBRAL I COMERCIO DE ALIMENTOS LTDA;Várzea Paulista;5;117;117;3609;53;;89;89;89;OK
Frete;55559/;05/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;IRMAS FERREIRA RESTAURANTE LTDA ME;Cachoeira Paulista;2;50;50;1211;23;;38;38;38;OK
Frete;55580/;05/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;PRATICO 4 SUPERMERCADO LTDA 487746;Praia Grande;5;135;135;4709;61;;103;103;103;OK
Frete;55562/;05/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;APARECIDO DONIZETI VIO 383955;São José dos Campos;1;25;25;660;11;;19;19;19;OK
Frete;55578/;05/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;MERCADINHO JOSE CARLOS MANOEL LTDA 79624;São José dos Campos;1;26;26;883;11;;20;20;20;OK
Frete;55584/;05/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;DANIEL CASTRO ACOUGUE E MERCEARIA LTDA 266847;São José dos Campos;1;26;26;947;11;;19;19;19;OK
Frete;55567/;05/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;MICHELE RAMUNDO COM DE GEN ALIMENT LTDA;São Paulo;6;145;145;4154;66;;110;110;110;OK
Frete;55563/;05/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;GILBERTO DE CARVALHO SALGADO 163798;Taubaté;1;27;27;1335;12;;21;21;21;OK
Frete;55575/;05/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;JCCM MINIMERCADO LTDA;Caçapava;1;24;24;881;11;;18;18;18;OK
;;;;;;;;;;;1085238;;32356;32356;32356;OK
