Coluna_1;Coluna_2;Coluna_3;Coluna_4;Coluna_5;Coluna_6;Coluna_7;Coluna_8;Coluna_9;Coluna_10;Coluna_11;Coluna_12;Coluna_13;VALOR CERTO;VALOR_CALCULADO;VALOR_ORIGINAL;STATUS
=== RESUMO ===;Total Geral: 64616;Linhas processadas: 192;Total linhas: 192

Frete;55303/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;MERCADO ARCA DE NOE LTDA - ME;Jacareí;4;101;101;2809;46;;77;77;77;OK
Frete;55299/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;BAR E RESTAURANTE SAO SILVESTRE LTDA -;Jacareí;2;37;37;826;17;;28;28;28;OK
Frete;55305/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;MERCEARIA E ACOUGUE PONTO BOM LTDA EPP;Peruíbe;67;1713;1713;59353;778;;1304;1304;1304;OK
Frete;55268/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;CASA DE CARNES E MINI MERC NOVILHA DE OURO P G LTDA;Praia Grande;5;124;124;1988;56;;94;94;94;OK
Frete;55270/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;JOSIANE CAMARGO DE ARAUJO 36168235876 297660;São José dos Campos;1;25;25;563;11;;19;19;19;OK
Frete;55258/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;NOVA UNIAO COMERCIO DE ALIMENTOS LTDA;São Paulo;2;53;53;1190;24;;40;40;40;OK
Frete;55267/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;Y J SHIN RESTAURANTE;São Paulo;1;16;16;991;7;;12;12;12;OK
Frete;55288/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;CCS BAR E RESTAURANTE LTDA;São Paulo;1;25;25;788;11;;19;19;19;OK
Frete;55285/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;LANCHONETE REHEM DOIS LTDA;São Paulo;6;151;151;3031;69;;115;115;115;OK
Frete;55293/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;LANCHONETE REHEM DOIS LTDA;São Paulo;8;199;199;4919;90;;152;152;152;OK
Frete;55295/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;RESTAURANTE DARE LTDA;São Paulo;5;128;128;3591;58;;98;98;98;OK
Frete;55271/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;SUPERMECADO SUPER POUPE;Taubaté;4;98;98;3626;44;;75;75;75;OK
Frete;55281/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;SUPERMECADO SUPER POUPE;Taubaté;14;359;359;8380;163;;273;273;273;OK
Frete;55297/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;COMERCIO E DISTRIBUICAO DE PRODUTOS BR LTDA 451164;Taubaté;2;55;55;3117;25;;41;41;41;OK
Frete;55273/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;UBA SUPERMERCADO LTDA 459619;Ubatuba;6;157;157;5456;71;;119;119;119;OK
Frete;55280/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;BEEF FRIGORIFICO LTDA;Taboão da Serra;122;2914;2914;67436;1324;;2218;2218;2218;OK
Frete;55275/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;SUPERMERCADO SILVESTRE LTDA;Sorocaba;32;796;796;22084;361;;606;606;606;OK
