Manifesto;Filial;Data;Veículo;Destino;Serviços;NFs;Kg Real;Kg Taxado;M3;Vale frete;Valor NF;Valor Fretes;Valor Final;% Aprov. Veículo;Km saída;Km chegada;Km final;Classificação;Observações operacionais;Status;Usuário
76944;LSP REIS MATRIZ SJC;01/09/2025;FAT1H80;Guaratinguetá, Queluz, Lorena, Cruzeiro;9;12;1447;1447;0;0;38114;920;920;36;592649;593018;369;Marfrig ( BRF );;Finalizado;Gustavo Henrique Vitoriano dos Santos
76945;LSP REIS MATRIZ SJC;01/09/2025;FSO4C01;Aparecida, Potim, Guaratinguetá;9;10;2051;2051;0;0;69377;1305;1305;58;390100;390350;250;Marfrig ( BRF );;Finalizado;Gustavo Henrique Vitoriano dos Santos
76946;LSP REIS MATRIZ SJC;01/09/2025;TBQ6G46;Guarulhos, Guararema;7;9;1213;1213;0;0;51603;771;771;60;6786;6986;200;Marfrig ( BRF );;Finalizado;Gustavo Henrique Vitoriano dos Santos
76947;LSP REIS MATRIZ SJC;01/09/2025;FUL0B23;Guarulhos;19;19;1357;1357;0;0;38344;863;863;54;622261;622457;196;Marfrig ( BRF );;Finalizado;Gustavo Henrique Vitoriano dos Santos
76948;LSP REIS MATRIZ SJC;01/09/2025;TBQ6G43;Mogi das Cruzes, Suzano, Itaquaquecetuba;14;15;966;966;0;0;25849;614;614;48;6675;6883;208;Marfrig ( BRF );;Finalizado;Gustavo Henrique Vitoriano dos Santos
76949;LSP REIS MATRIZ SJC;01/09/2025;FWU8C95;Taubaté, Pindamonhangaba;5;6;1523;1523;0;0;36695;969;969;30;381474;381669;195;Marfrig ( BRF );;Finalizado;Gustavo Henrique Vitoriano dos Santos
76950;LSP REIS MATRIZ SJC;01/09/2025;GEN6A61;Caçapava, Taubaté, Pindamonhangaba;15;17;1236;1236;0;0;29525;787;787;61;267398;267575;177;Marfrig ( BRF );;Finalizado;Gustavo Henrique Vitoriano dos Santos
76951;LSP REIS MATRIZ SJC;01/09/2025;FWG7E97;Jacareí, São José dos Campos;20;20;1572;1572;0;0;46092;1000;1000;31;432780;432871;91;Marfrig ( BRF );;Finalizado;Gustavo Henrique Vitoriano dos Santos
76952;LSP REIS MATRIZ SJC;01/09/2025;FNF2E32;São José dos Campos;12;17;1430;1430;0;0;31849;910;910;57;622700;622768;68;Marfrig ( BRF );;Finalizado;Gustavo Henrique Vitoriano dos Santos
76953;LSP REIS MATRIZ SJC;01/09/2025;EFT3I02;São José dos Campos;15;17;1588;1588;0;0;47246;1010;1010;45;400846;400987;141;Marfrig ( BRF );;Finalizado;Gustavo Henrique Vitoriano dos Santos
76954;LSP REIS MATRIZ SJC;01/09/2025;FFG5F13;Jacareí;11;12;1585;1585;0;0;37261;1008;1008;63;710613;710707;94;Marfrig ( BRF );;Finalizado;Gustavo Henrique Vitoriano dos Santos
76955;LSP REIS MATRIZ SJC;01/09/2025;SVU6A45;Caçapava, Monteiro Lobato;5;5;1105;1105;0;554;26964;740;740;73;43247;43369;122;Friboi;;Finalizado;Gustavo Henrique Vitoriano dos Santos
76956;LSP REIS MATRIZ SJC;01/09/2025;ETU9H27;São José dos Campos, Caçapava;18;18;2879;2879;0;1000;60785;1928;1928;71;489932;490057;125;Friboi;;Finalizado;Gustavo Henrique Vitoriano dos Santos
76957;LSP REIS MATRIZ SJC;01/09/2025;GEH3I45;Mogi das Cruzes;10;10;903;903;0;681;27939;605;605;56;344104;344272;168;Friboi;;Finalizado;Gustavo Henrique Vitoriano dos Santos
76958;LSP REIS MATRIZ SJC;01/09/2025;FTG2J18;São José dos Campos;16;16;1770;1770;0;756;42608;1186;1186;354;222077;222148;71;Friboi;;Finalizado;Gustavo Henrique Vitoriano dos Santos
76959;LSP REIS MATRIZ SJC;01/09/2025;ETU8G66;Jacareí, São José dos Campos;19;19;2614;2614;0;1016;58508;1751;1751;65;541151;541284;133;Friboi;;Finalizado;Gustavo Henrique Vitoriano dos Santos
76960;LSP REIS MATRIZ SJC;01/09/2025;FVC8855;Jacareí, Guararema, Santa Isabel;8;8;956;956;0;624;31656;640;640;59;650276;650396;120;Friboi;;Finalizado;Gustavo Henrique Vitoriano dos Santos
76961;LSP REIS MATRIZ SJC;01/09/2025;CVN9I53;Bragança Paulista, Vargem, Atibaia;3;8;2069;2069;0;1080;29724;1551;1551;82;656404;656771;367;FRZ Log;;Finalizado;Gustavo Henrique Vitoriano dos Santos
76962;LSP REIS MATRIZ SJC;01/09/2025;DRJ8010;São Vicente, Santos, Guarujá;3;4;2023;2023;0;1065;47817;1416;1416;91;540400;540777;377;FRZ Log;;Finalizado;Gustavo Henrique Vitoriano dos Santos
76963;LSP REIS MATRIZ SJC;01/09/2025;EGD6F32;São José dos Campos;2;6;867;867;0;489;16056;705;1246;54;650527;650590;63;FRZ Log;EMBARCADO AS NFS: 254801 254803 254829 254833 254783 254789 254807 254811;Finalizado;Gustavo Henrique Vitoriano dos Santos
76964;LSP REIS MATRIZ SJC;01/09/2025;FOD9H62;Campinas, Nova Odessa, Sumaré, Hortolândia;6;10;2198;2198;0;0;60186;1171;1171;54;663352;663743;391;FRZ Log;;Finalizado;Gustavo Henrique Vitoriano dos Santos
76965;LSP REIS MATRIZ SJC;01/09/2025;ETU9113;Lorena, Guaratinguetá, Cruzeiro, Cachoeira Paulista, Piquete, Aparecida;13;14;1829;1829;0;1378;30042;1403;1403;45;740993;741307;314;FRZ Log;;Finalizado;Gustavo Henrique Vitoriano dos Santos
76966;LSP REIS MATRIZ SJC;01/09/2025;ERJ4C92;Ferraz de Vasconcelos, Itaquaquecetuba, Poá;10;10;1484;1484;0;648;28654;1015;1015;92;432867;433075;208;FRZ Log;;Finalizado;Gustavo Henrique Vitoriano dos Santos
76967;LSP REIS MATRIZ SJC;01/09/2025;FBS9H88;Suzano, Mogi das Cruzes, Jacareí;11;11;569;569;0;412;12891;402;402;87;504491;504681;190;FRZ Log;;Finalizado;Gustavo Henrique Vitoriano dos Santos
76968;LSP REIS MATRIZ SJC;01/09/2025;FSS2E39;Guarulhos, Arujá, Santa Isabel;6;6;277;277;0;429;11458;139;139;42;614172;614384;212;FRZ Log;EMBARCADO AS NFS: 202226 389613;Finalizado;Gustavo Henrique Vitoriano dos Santos
76969;LSP REIS MATRIZ SJC;01/09/2025;FKC0F45;Caçapava;6;6;248;248;0;349;4209;175;308;34;228888;228994;106;FRZ Log;EMBARCADO AS NFS: 254793 254794 254820 254821 254825 254828;Finalizado;Gustavo Henrique Vitoriano dos Santos
76970;LSP REIS MATRIZ SJC;01/09/2025;EFU4B04;Taubaté, Pindamonhangaba;4;4;449;449;0;599;6284;314;314;28;371474;371637;163;FRZ Log;EMBARCADO AS NFS: 389159 45036 389193 622 389617;Finalizado;Gustavo Henrique Vitoriano dos Santos
76971;LSP REIS MATRIZ SJC;01/09/2025;GEB1H24;;0;0;0;0;0;0;0;0;0;0;317294;317613;319;Marfrig ( BRF );;Em trânsito;Henrique Praxedes
76972;LSP REIS MATRIZ SJC;01/09/2025;ETW2J69;São José dos Campos;26;28;1133;1133;0;501;38033;704;704;70;617558;617650;92;MINERVA;65,58 KM;Finalizado;Matheus Antonioli
76973;LSP REIS MATRIZ SJC;01/09/2025;FLF2B50;São Sebastião, Bertioga, Caraguatatuba, Santos;28;30;1597;1597;0;994;46979;1204;1204;99;235008;235530;522;MINERVA;340,54 KM;Finalizado;Matheus Antonioli
76974;LSP REIS MATRIZ SJC;01/09/2025;DUO3J54;São José dos Campos, Caçapava, Taubaté;24;29;1339;1339;0;627;42352;860;860;83;154437;154626;189;MINERVA;151,46 KM;Finalizado;Matheus Antonioli
76975;LSP REIS MATRIZ SJC;01/09/2025;FKT2B95;Arujá, Itaquaquecetuba, Suzano, Ferraz de Vasconcelos, Santa Isabel, Poá;27;33;1230;1230;0;636;40826;884;884;82;195015;195212;197;MINERVA;164,77 KM;Finalizado;Matheus Antonioli
76976;LSP REIS MATRIZ SJC;01/09/2025;MIO9D74;Jacareí, São José dos Campos;24;24;1289;1289;0;602;44045;693;693;80;654372;654507;135;MINERVA;59,56 KM;Finalizado;Matheus Antonioli
76977;LSP REIS MATRIZ SJC;01/09/2025;FNP4C71;Jacareí, Guararema;12;13;1391;1391;0;493;42677;683;683;92;403356;403423;67;MINERVA;53,97 KM;Finalizado;Matheus Antonioli
76978;LSP REIS MATRIZ SJC;01/09/2025;FLF2A46;Paraty, Ubatuba;17;25;1652;1652;0;988;71995;1341;1341;110;153976;154493;517;MINERVA;416,07 KM;Finalizado;Matheus Antonioli
76979;LSP REIS MATRIZ SJC;01/09/2025;FKT2D65;Canas, Aparecida, Lorena, Cachoeira Paulista;8;14;1420;1420;0;769;49969;1153;1153;94;240184;240502;318;MINERVA;312,6 KM;Finalizado;Matheus Antonioli
76980;LSP REIS MATRIZ SJC;01/09/2025;PPJ1D69;Suzano, Itaquaquecetuba, Mogi das Cruzes;23;29;1521;1521;0;677;53415;895;895;101;341541;341775;234;MINERVA;170,6 KM;Finalizado;Matheus Antonioli
76981;LSP REIS MATRIZ SJC;01/09/2025;HFI7H71;Taubaté, Pindamonhangaba, Aparecida, Potim, Guaratinguetá;28;35;1559;1559;0;721;53024;1087;1087;103;411486;411760;274;MINERVA;276 KM;Finalizado;Matheus Antonioli
76982;LSP REIS MATRIZ SJC;01/09/2025;ERR0E11;Mogi das Cruzes;1;1;1517;1517;0;580;46370;755;755;101;522673;522819;146;MINERVA;93,66 KM;Finalizado;Matheus Antonioli
76983;LSP REIS MATRIZ SJC;01/09/2025;FUQ0G36;Resende;1;1;2281;2281;0;0;75794;1826;1826;57;674149;674573;424;MINERVA;428,48 KM;Finalizado;Matheus Antonioli
76984;LSP REIS MATRIZ SJC;01/09/2025;LPZ9A14;Volta Redonda;1;1;1950;1950;0;1149;55996;1655;1655;130;578304;578782;478;MINERVA;498,68 KM;Finalizado;Matheus Antonioli
76985;LSP REIS MATRIZ SJC;01/09/2025;QCC3H88;São Sebastião;2;2;905;905;0;1270;9712;876;1461;45;103133;103393;260;Adoro Varzea Paulista;;Finalizado;Matheus Antonioli
76986;LSP REIS MATRIZ SJC;01/09/2025;OKZ0385;Jacareí;3;3;1184;1184;0;677;9590;811;1353;33;478298;478316;18;Adoro Varzea Paulista;;Finalizado;Matheus Antonioli
76987;LSP REIS MATRIZ SJC;01/09/2025;NXZ0127;Jacareí;2;2;2017;2017;0;510;16610;889;1483;100;417675;417697;22;Adoro Varzea Paulista;;Finalizado;Matheus Antonioli
76988;LSP REIS MATRIZ SJC;01/09/2025;QCC3I28;São José dos Campos;4;4;2369;2369;0;862;19840;811;1353;67;232356;232412;56;Adoro Varzea Paulista;;Finalizado;Matheus Antonioli
76989;LSP REIS MATRIZ SJC;01/09/2025;CVN9I54;Caraguatatuba;2;2;3002;3002;0;0;26394;961;1601;75;891698;891898;200;Adoro Varzea Paulista;;Finalizado;Matheus Antonioli
76990;LSP REIS MATRIZ SJC;01/09/2025;ETU8G60;São José dos Campos;1;6;2736;2736;0;890;26737;811;1353;84;234582;234652;70;Adoro Varzea Paulista;;Finalizado;Matheus Antonioli
76991;LSP REIS MATRIZ SJC;01/09/2025;EVX4989;Mogi das Cruzes;2;2;2037;2037;0;746;16566;583;973;135;622100;622290;190;Adoro Varzea Paulista;;Finalizado;Matheus Antonioli
76992;LSP REIS MATRIZ SJC;01/09/2025;EJW3H83;Mogi das Cruzes;1;5;1916;1916;0;651;16738;583;973;95;490735;490878;143;Adoro Varzea Paulista;;Finalizado;Matheus Antonioli
76993;LSP REIS MATRIZ SJC;01/09/2025;EKH9C80;São José dos Campos;1;6;4171;4171;0;802;44495;889;1483;104;318834;318906;72;Adoro Varzea Paulista;;Finalizado;Matheus Antonioli
76994;LSP REIS MATRIZ SJC;01/09/2025;FFG4I73;Piquete;1;6;4978;4978;0;0;44050;1110;1850;71;687351;687688;337;Adoro Varzea Paulista;;Finalizado;Matheus Antonioli
76995;LSP REIS MATRIZ SJC;01/09/2025;ELQ7E29;Guaratinguetá;1;6;3560;3560;0;987;39231;876;1461;101;563140;563365;225;Adoro Varzea Paulista;;Finalizado;Matheus Antonioli
76996;LSP REIS MATRIZ SJC;01/09/2025;CVN9851;Ubatuba;3;3;1193;1193;0;0;12034;1013;1688;34;657410;657733;323;Adoro Varzea Paulista;;Finalizado;Matheus Antonioli
76997;LSP REIS MATRIZ SJC;01/09/2025;DVT8G76;Caraguatatuba;1;1;1695;1695;0;1040;15372;876;1461;89;552020;552232;212;Adoro Varzea Paulista;;Finalizado;Matheus Antonioli
76998;LSP REIS MATRIZ SJC;01/09/2025;ERC4I24;São José dos Campos;3;3;4273;4273;0;0;39089;1014;1690;77;701144;702215;1071;Adoro Varzea Paulista;;Finalizado;Matheus Antonioli
76999;LSP REIS MATRIZ SJC;01/09/2025;BTB7E78;Santa Branca;1;5;2286;2286;0;550;20670;811;1353;152;35261;35319;58;Adoro Varzea Paulista;;Finalizado;Matheus Antonioli
77000;LSP REIS MATRIZ SJC;01/09/2025;AMX0E01;Guararema;1;5;5537;5537;0;1047;84656;1014;1690;79;643843;643922;79;Adoro Varzea Paulista;;Finalizado;Matheus Antonioli
77001;LSP REIS MATRIZ SJC;01/09/2025;DXY5B21;Jacareí, São Paulo;4;4;0;0;0;688;8379;841;841;0;440461;440668;207;GOLD PAO;CARGA: 10153232 NFS 65374 65375 65384 65388;Finalizado;Henrique Praxedes
77002;LSP REIS MATRIZ SJC;01/09/2025;PXF6E01;São José dos Campos;1;23;13856;13856;0;0;100947;2394;3990;86;604053;604621;568;Transferência;CROSS ADORO SÃO CARLOS;Finalizado;Juliana Curi Ferreira
77003;LSP REIS MATRIZ SJC;01/09/2025;DBL6F53;São José dos Campos;2;41;8790;8790;0;0;243604;1698;1698;73;0;0;0;Transferência;;Pendente;Victor Leonardo
77004;LSP REIS MATRIZ SJC;01/09/2025;FFG4I73;São José dos Campos, Limeira;75;76;5285;5285;0;0;97111;1975;1975;75;916708;916909;201;Transferência;;Finalizado;Victor Leonardo
77006;LSP REIS MATRIZ SJC;02/09/2025;ETU9H27;São José dos Campos;20;20;1898;1898;0;996;46605;1271;1271;47;490052;490175;123;Friboi;;Finalizado;Gustavo Henrique Vitoriano dos Santos
77007;LSP REIS MATRIZ SJC;02/09/2025;ETU8G66;São José dos Campos;29;29;2181;2181;0;948;72576;1461;1461;54;541284;541383;99;Friboi;EMBARCADO NF 7780745;Finalizado;Gustavo Henrique Vitoriano dos Santos
77008;LSP REIS MATRIZ SJC;02/09/2025;STK5F00;São José dos Campos, Jacareí;12;12;1199;1199;0;479;28767;803;803;79;69084;69138;54;Friboi;EMBARCADO NFS 7778693 7778715;Finalizado;Gustavo Henrique Vitoriano dos Santos
77009;LSP REIS MATRIZ SJC;02/09/2025;SVU6A45;Jacareí, Santa Branca;17;17;1592;1592;0;558;37585;1066;1066;106;43387;43513;126;Friboi;;Finalizado;Gustavo Henrique Vitoriano dos Santos
77010;LSP REIS MATRIZ SJC;02/09/2025;GEH3I45;Mogi das Cruzes;22;22;1644;1644;0;723;39003;1101;1101;102;344379;344582;203;Friboi;;Finalizado;Gustavo Henrique Vitoriano dos Santos
77011;LSP REIS MATRIZ SJC;02/09/2025;FTG2J18;Mogi das Cruzes;18;18;2519;2519;0;978;53753;1687;1687;503;222149;222368;219;Friboi;;Finalizado;Gustavo Henrique Vitoriano dos Santos
77012;LSP REIS MATRIZ SJC;02/09/2025;FSO4C01;Aparecida;10;22;3542;3542;0;0;94302;2149;2149;101;390351;390573;222;FRZ Log;EMBARCADO NF 254817;Finalizado;Gustavo Henrique Vitoriano dos Santos
77013;LSP REIS MATRIZ SJC;02/09/2025;GET1D33;Arujá;3;4;1108;1108;0;539;10898;991;991;73;404541;404650;109;FRZ Log;;Finalizado;Gustavo Henrique Vitoriano dos Santos
77014;LSP REIS MATRIZ SJC;02/09/2025;FUL0B23;Atibaia, Bragança Paulista;2;12;2281;2281;0;0;30198;2073;2073;91;622474;622776;302;FRZ Log;;Finalizado;Gustavo Henrique Vitoriano dos Santos
77015;LSP REIS MATRIZ SJC;02/09/2025;FWG7E97;São Carlos, Dois Córregos, Bariri, Limeira, Rio Claro;10;10;1991;1991;0;0;31945;1495;1495;39;432872;433735;863;FRZ Log;;Finalizado;Gustavo Henrique Vitoriano dos Santos
77016;LSP REIS MATRIZ SJC;02/09/2025;FLF1I90;Caçapava, Taubaté;6;11;1721;1721;0;553;41023;1171;1171;107;165545;165666;121;FRZ Log;;Finalizado;Gustavo Henrique Vitoriano dos Santos
77017;LSP REIS MATRIZ SJC;02/09/2025;TBQ6G46;Cruzeiro, Cachoeira Paulista;8;10;1781;1781;0;0;25483;1542;1542;89;6986;7274;288;FRZ Log;;Finalizado;Gustavo Henrique Vitoriano dos Santos
77018;LSP REIS MATRIZ SJC;02/09/2025;FFG5F13;Nova Odessa, Hortolândia, Campinas, Piracicaba;5;5;1246;1246;0;0;44694;677;677;49;710707;711202;495;FRZ Log;;Finalizado;Gustavo Henrique Vitoriano dos Santos
77019;LSP REIS MATRIZ SJC;02/09/2025;DRJ8010;Ubatuba, Caraguatatuba;8;20;2245;2245;0;1004;43424;1661;1661;102;540790;541126;336;FRZ Log;;Finalizado;Gustavo Henrique Vitoriano dos Santos
77020;LSP REIS MATRIZ SJC;02/09/2025;OOD5I38;Redenção da Serra, Cunha;2;8;1712;1712;0;995;21167;1599;1599;114;302325;302693;368;FRZ Log;;Finalizado;Gustavo Henrique Vitoriano dos Santos
77021;LSP REIS MATRIZ SJC;02/09/2025;GEN6A61;Guaratinguetá;3;13;956;956;0;0;11628;768;768;47;267576;267817;241;FRZ Log;EMBARCADO NF 254819 254835;Finalizado;Gustavo Henrique Vitoriano dos Santos
77022;LSP REIS MATRIZ SJC;02/09/2025;ERJ4C92;Santos, Guarujá;2;8;1368;1368;0;842;14819;1232;1232;85;433103;433487;384;FRZ Log;;Finalizado;Gustavo Henrique Vitoriano dos Santos
77023;LSP REIS MATRIZ SJC;02/09/2025;SVY3I37;Santa Isabel;1;5;1240;1240;0;546;9791;1127;1127;82;32890;33005;115;FRZ Log;EMBARCADO A NF:254826;Finalizado;Gustavo Henrique Vitoriano dos Santos
77024;LSP REIS MATRIZ SJC;02/09/2025;FFG4I73;Ilhabela;3;6;3605;3605;0;0;84017;2525;2525;51;687950;688218;268;FRZ Log;;Finalizado;Gustavo Henrique Vitoriano dos Santos
77025;LSP REIS MATRIZ SJC;02/09/2025;GAE7H63;Salesópolis, Jacareí, Santa Branca;13;20;1484;1484;0;693;31964;1113;1113;92;173451;173700;249;FRZ Log;;Finalizado;Gustavo Henrique Vitoriano dos Santos
77026;LSP REIS MATRIZ SJC;02/09/2025;EUL0B36;Ilhabela;1;10;416;416;0;549;9805;244;757;64;390883;391255;372;MEGGS;;Finalizado;Matheus Antonioli
77027;LSP REIS MATRIZ SJC;02/09/2025;TBQ6G43;Piquete, Lorena;6;11;1383;1383;0;0;27146;1132;1132;69;6884;7147;263;FRZ Log;;Finalizado;Gustavo Henrique Vitoriano dos Santos
77028;LSP REIS MATRIZ SJC;02/09/2025;KQV2B20;Pindamonhangaba;4;12;1857;1857;0;681;30883;1529;1529;109;170492;170693;201;FRZ Log;;Finalizado;Gustavo Henrique Vitoriano dos Santos
77029;LSP REIS MATRIZ SJC;02/09/2025;EAL5I41;São José dos Campos;1;16;356;356;0;332;9218;170;528;54;416269;416352;83;MEGGS;;Finalizado;Matheus Antonioli
77030;LSP REIS MATRIZ SJC;02/09/2025;FWU8C95;São José dos Campos;1;4;2206;2206;0;0;29417;2006;2063;44;381669;381738;69;FRZ Log;EMBARCADO AS NFS: 255251 255262 255264;Finalizado;Gustavo Henrique Vitoriano dos Santos
77031;LSP REIS MATRIZ SJC;02/09/2025;KOU1E44;São Sebastião;1;15;501;501;0;806;15417;380;1081;31;601238;601620;382;MEGGS;;Finalizado;Matheus Antonioli
77032;LSP REIS MATRIZ SJC;02/09/2025;EFU4B04;São José dos Campos;5;8;734;734;0;548;15501;505;1010;45;774274;774391;117;Friboi;EMBARCADO AS NFS: 255234 255235 255241 255242 255245 255246 255250 255257 255260 255268 255269 255273 255281 255282 255297;Finalizado;Gustavo Henrique Vitoriano dos Santos
77033;LSP REIS MATRIZ SJC;02/09/2025;MIO9D74;Ubatuba;1;20;913;913;0;971;27358;380;1081;57;654553;654996;443;MEGGS;;Finalizado;Matheus Antonioli
77034;LSP REIS MATRIZ SJC;02/09/2025;FLF2B50;;1;0;0;0;0;420;537;0;537;0;0;0;0;MINERVA;PERNOITE;Em trânsito;Matheus Antonioli
77035;LSP REIS MATRIZ SJC;02/09/2025;FLF2A46;;1;0;0;0;0;420;537;0;537;0;0;0;0;MINERVA;PERNOITE;Em trânsito;Matheus Antonioli
77036;LSP REIS MATRIZ SJC;02/09/2025;EGD6F32;São Vicente;1;5;1698;1698;0;810;16749;1544;1544;106;650607;650962;355;FRZ Log;;Finalizado;Gustavo Henrique Vitoriano dos Santos
77037;LSP REIS MATRIZ SJC;02/09/2025;FUB1F65;Taubaté, Tremembé;11;17;1789;1789;0;977;25878;1428;1428;44;593263;593438;175;FRZ Log;;Finalizado;Gustavo Henrique Vitoriano dos Santos
77038;LSP REIS MATRIZ SJC;02/09/2025;MKR1F49;Mogi das Cruzes;17;23;1120;1120;0;539;47863;802;802;70;397851;397960;109;MINERVA;119,77 KM;Finalizado;Matheus Antonioli
77039;LSP REIS MATRIZ SJC;02/09/2025;FKC0F45;Itaquaquecetuba, Poá, Ferraz de Vasconcelos, Guararema, Suzano;13;14;604;604;0;407;10509;403;403;83;229039;229222;183;FRZ Log;;Finalizado;Gustavo Henrique Vitoriano dos Santos
77040;LSP REIS MATRIZ SJC;02/09/2025;EYE9683;São José dos Campos;18;23;1242;1242;0;508;49509;697;697;77;729011;729068;57;MINERVA;61,91 KM;Finalizado;Matheus Antonioli
77041;LSP REIS MATRIZ SJC;02/09/2025;ELW5C30;Mauá;1;1;1529;1529;0;718;33985;695;695;95;652740;652939;199;FRZ Log;;Finalizado;Gustavo Henrique Vitoriano dos Santos
77042;LSP REIS MATRIZ SJC;02/09/2025;CPI5G77;Aparecida;7;8;1193;1193;0;618;28860;942;942;74;764088;764291;203;MINERVA;196,57 KM;Finalizado;Matheus Antonioli
77043;LSP REIS MATRIZ SJC;02/09/2025;FOF2B00;São Paulo;9;10;615;615;0;469;19795;302;302;94;317897;318163;266;FRZ Log;;Finalizado;Gustavo Henrique Vitoriano dos Santos
77044;LSP REIS MATRIZ SJC;02/09/2025;CFY3E22;Pindamonhangaba, Aparecida;10;15;1097;1097;0;720;37813;951;951;68;192191;192464;273;MINERVA;201,62 KM;Finalizado;Matheus Antonioli
77045;LSP REIS MATRIZ SJC;02/09/2025;FNP4C71;Caçapava, São José dos Campos;15;24;1149;1149;0;559;38087;810;810;76;403440;403567;127;MINERVA;124,13 KM;Finalizado;Matheus Antonioli
77046;LSP REIS MATRIZ SJC;02/09/2025;DKI9I63;São José dos Campos;1;4;739;739;0;554;30073;504;1115;46;571219;571341;122;FRZ Log;EMBARCADO AS NFS: 255233 255236 255237 255238 255240 255248 255252 255275 255288 255290 255301 255303;Finalizado;Gustavo Henrique Vitoriano dos Santos
77047;LSP REIS MATRIZ SJC;02/09/2025;EFV0782;São José dos Campos;17;20;1205;1205;0;481;37101;694;694;80;830608;830664;56;MINERVA;;Finalizado;Matheus Antonioli
77048;LSP REIS MATRIZ SJC;02/09/2025;ENM6J23;Cotia, Taboão da Serra;2;2;1273;1273;0;846;30584;578;578;79;760006;760394;388;FRZ Log;;Finalizado;Gustavo Henrique Vitoriano dos Santos
77049;LSP REIS MATRIZ SJC;02/09/2025;PXJ9I91;Ferraz de Vasconcelos, Poá, Suzano;20;23;1029;1029;0;630;31623;941;941;68;149688;149879;191;MINERVA;195,77 KM;Finalizado;Matheus Antonioli
77050;LSP REIS MATRIZ SJC;02/09/2025;QDA4J20;Guarulhos, Franco da Rocha;9;9;1578;1578;0;776;49320;717;717;98;137069;137349;280;FRZ Log;;Finalizado;Gustavo Henrique Vitoriano dos Santos
77051;LSP REIS MATRIZ SJC;02/09/2025;ASN5A61;São Paulo;9;9;1631;1631;0;726;45895;741;741;108;574981;575260;279;FRZ Log;;Finalizado;Gustavo Henrique Vitoriano dos Santos
77052;LSP REIS MATRIZ SJC;02/09/2025;FSS2E39;São Paulo;4;4;555;555;0;444;15813;258;258;85;614394;614627;233;FRZ Log;;Finalizado;Gustavo Henrique Vitoriano dos Santos
77053;LSP REIS MATRIZ SJC;02/09/2025;FKT2B95;Itaquaquecetuba, Arujá, Suzano, Mogi das Cruzes;18;25;1339;1339;0;605;45171;856;856;89;195231;195400;169;MINERVA;149,36 KM;Finalizado;Matheus Antonioli
77054;LSP REIS MATRIZ SJC;02/09/2025;DUO3J54;Jacareí;18;18;1340;1340;0;466;52067;648;648;83;154635;154677;42;MINERVA;34,6 KM;Finalizado;Matheus Antonioli
77055;LSP REIS MATRIZ SJC;02/09/2025;FKT2A75;Mogi das Cruzes, Suzano;24;26;1394;1394;0;588;57119;860;860;87;247272;247425;153;MINERVA;151,31 KM;Finalizado;Matheus Antonioli
77056;LSP REIS MATRIZ SJC;02/09/2025;FLF2F36;Pindamonhangaba, Taubaté;18;21;1115;1115;0;701;34811;944;944;69;159039;159257;218;MINERVA;;Finalizado;Matheus Antonioli
77057;LSP REIS MATRIZ SJC;02/09/2025;ENK8J39;Jacareí, São José dos Campos;23;24;1281;1281;0;474;44697;698;698;80;522433;522499;66;MINERVA;62,27 KM;Finalizado;Matheus Antonioli
77058;LSP REIS MATRIZ SJC;02/09/2025;RCE9D43;Taubaté;20;22;1243;1243;0;575;48710;855;855;77;180505;180667;162;MINERVA;148,83 KM;Finalizado;Matheus Antonioli
77059;LSP REIS MATRIZ SJC;02/09/2025;PPJ1D69;São José dos Campos;11;18;1372;1372;0;477;51177;652;652;91;341775;341827;52;MINERVA;37,06 KM;Finalizado;Matheus Antonioli
77060;LSP REIS MATRIZ SJC;02/09/2025;EMS6A59;São José dos Campos;18;20;1081;1081;0;535;44842;690;690;72;452167;452272;105;MINERVA;57,75 KM;Finalizado;Matheus Antonioli
77061;LSP REIS MATRIZ SJC;02/09/2025;ETW2J69;São José dos Campos;14;17;1386;1386;0;498;47659;730;730;86;617694;617783;89;MINERVA;79,73 KM;Finalizado;Matheus Antonioli
77062;LSP REIS MATRIZ SJC;02/09/2025;IVA8F85;Paraibuna, Caraguatatuba;18;25;1216;1216;0;405;41363;1027;1027;76;0;0;0;MINERVA;243,06 KM;Em trânsito;Matheus Antonioli
77063;LSP REIS MATRIZ SJC;02/09/2025;CFY2A84;Piquete, Lorena, Guaratinguetá, Aparecida;20;24;1358;1358;0;854;42973;1138;1138;84;124005;124350;345;MINERVA;;Finalizado;Matheus Antonioli
77064;LSP REIS MATRIZ SJC;02/09/2025;HFI7H71;Ubatuba;14;23;1251;1251;0;805;40257;1179;1179;83;411787;412137;350;MINERVA;326,9 KM;Finalizado;Matheus Antonioli
77065;LSP REIS MATRIZ SJC;02/09/2025;FKT2D65;São Sebastião, Bertioga;23;30;1368;1368;0;800;52055;1215;1215;91;240506;240852;346;MINERVA;346,91 KM;Finalizado;Matheus Antonioli
77066;LSP REIS MATRIZ SJC;02/09/2025;EBO8D53;Campos do Jordão;27;33;1496;1496;0;685;73689;989;989;93;416110;416351;241;MINERVA;222,56 KM;Finalizado;Matheus Antonioli
77067;LSP REIS MATRIZ SJC;02/09/2025;FBS9H88;São José dos Campos;1;15;421;421;0;388;10662;170;528;64;504709;504867;158;MEGGS;;Finalizado;Matheus Antonioli
