Manifesto;Filial;Data;Veículo;Destino;Serviços;NFs;Kg Real;Kg Taxado;M3;Vale frete;Valor NF;Valor Fretes;Valor Final;% Aprov. Veículo;Km saída;Km chegada;Km final;Classificação;Observações operacionais;Status;Usuário
77922;LSP REIS MATRIZ SJC;12/09/2025;ETU8G66;São José dos Campos, Caçapava;28;28;2259;2259;0;1022;63762;1513;1513;56;542132;542268;136;Friboi;;Finalizado;Juliana Curi Ferreira
77923;LSP REIS MATRIZ SJC;12/09/2025;CVN9I53;Guararema, Jacareí;30;30;1821;1821;0;707;44339;1219;1219;72;657035;657153;118;Friboi;;Finalizado;Juliana Curi Ferreira
77924;LSP REIS MATRIZ SJC;12/09/2025;ETU9H27;Mogi das Cruzes;17;17;2536;2536;0;1232;62365;1699;1699;63;491073;491314;241;Friboi;;Finalizado;Juliana Curi Ferreira
77925;LSP REIS MATRIZ SJC;12/09/2025;STK5F00;Santa Isabel, Guararema, Jacareí;16;16;1210;1210;0;598;26237;811;811;80;70301;70463;162;Friboi;;Finalizado;Juliana Curi Ferreira
77926;LSP REIS MATRIZ SJC;12/09/2025;ELW5C30;Arujá, Mogi das Cruzes;13;13;1115;1115;0;674;37823;747;747;69;653913;654075;162;Friboi;;Finalizado;Juliana Curi Ferreira
77927;LSP REIS MATRIZ SJC;12/09/2025;GEH3I45;Mogi das Cruzes;15;15;1330;1330;0;661;39062;891;891;83;345581;345732;151;Friboi;;Finalizado;Juliana Curi Ferreira
77928;LSP REIS MATRIZ SJC;12/09/2025;SVU6A45;São José dos Campos, Jacareí;18;18;1225;1225;0;516;40397;820;820;81;44326;44414;88;Friboi;;Finalizado;Juliana Curi Ferreira
77929;LSP REIS MATRIZ SJC;12/09/2025;ETU9113;Jacareí, São José dos Campos, Jambeiro;22;22;3661;3661;0;984;106626;2452;2452;91;741822;741939;117;Friboi;;Finalizado;Juliana Curi Ferreira
77930;LSP REIS MATRIZ SJC;12/09/2025;CPI5G77;;1;0;0;0;0;405;0;0;0;0;0;0;0;Friboi;;Em trânsito;Juliana Curi Ferreira
77931;LSP REIS MATRIZ SJC;12/09/2025;FSS2E39;Pindamonhangaba;1;11;458;458;0;496;12889;170;528;70;616814;617116;302;MEGGS;;Finalizado;Matheus Antonioli
77932;LSP REIS MATRIZ SJC;12/09/2025;EUL0B36;Ilhabela;1;12;318;318;0;544;9529;244;757;48;393758;394124;366;MEGGS;;Finalizado;Matheus Antonioli
77933;LSP REIS MATRIZ SJC;12/09/2025;PRN4H79;Guaratinguetá, Cachoeira Paulista, Canas, Lorena;15;20;1574;1574;0;0;43820;1001;1001;104;47533;47906;373;Marfrig ( BRF );;Finalizado;Juliana Curi Ferreira
77934;LSP REIS MATRIZ SJC;12/09/2025;TBQ6G43;Bertioga;1;1;1651;1651;0;0;54829;1050;1050;82;8362;8610;248;Marfrig ( BRF );;Finalizado;Henrique Praxedes
77935;LSP REIS MATRIZ SJC;12/09/2025;FBS9H88;Cunha;1;13;306;306;0;546;9725;207;719;47;507050;507418;368;MEGGS;;Finalizado;Matheus Antonioli
77936;LSP REIS MATRIZ SJC;12/09/2025;PII2G05;Santo Antônio do Pinhal, São Bento do Sapucaí, Taubaté;11;12;1544;1544;0;669;50069;982;982;102;130134;130361;227;Marfrig ( BRF );;Finalizado;Juliana Curi Ferreira
77937;LSP REIS MATRIZ SJC;12/09/2025;FFG5F13;Guaratinguetá, Pindamonhangaba;2;4;2083;2083;0;0;64692;1325;1325;83;712816;713017;201;Marfrig ( BRF );;Finalizado;Henrique Praxedes
77938;LSP REIS MATRIZ SJC;12/09/2025;QNX1D83;São José dos Campos;1;18;386;386;0;399;9344;170;528;59;309336;309508;172;MEGGS;;Finalizado;Matheus Antonioli
77939;LSP REIS MATRIZ SJC;12/09/2025;RFP9G64;Pindamonhangaba, Aparecida, Guaratinguetá, Potim;16;17;1028;1028;0;0;30909;654;654;68;115661;115901;240;Marfrig ( BRF );REFERENTE VEÍCULO RFP9G64;Finalizado;Juliana Curi Ferreira
77940;LSP REIS MATRIZ SJC;12/09/2025;EAL5I41;São José dos Campos;1;16;388;388;0;420;8729;170;528;59;417709;417909;200;MEGGS;;Finalizado;Matheus Antonioli
77941;LSP REIS MATRIZ SJC;12/09/2025;FTZ8I87;Campos do Jordão;14;16;1444;1444;0;685;49017;919;919;96;440054;440295;241;Marfrig ( BRF );;Finalizado;Juliana Curi Ferreira
77942;LSP REIS MATRIZ SJC;12/09/2025;GEN6A61;Guarulhos;2;4;1812;1812;0;0;57850;1153;1153;90;268562;268743;181;Marfrig ( BRF );;Finalizado;Henrique Praxedes
77943;LSP REIS MATRIZ SJC;12/09/2025;OXX2C15;Suzano, Ferraz de Vasconcelos, Guarulhos, Arujá, Poá, Itaquaquecetuba, Mogi das Cruzes, Guararema;20;21;1312;1312;0;660;36250;834;834;87;90109;90328;219;Marfrig ( BRF );;Finalizado;Juliana Curi Ferreira
77944;LSP REIS MATRIZ SJC;12/09/2025;ELD9F62;;1;0;0;0;0;405;515;0;515;0;482395;482575;180;MINERVA;PERNOITE FLF2F36 NFS ALOCADAS: 5787871 5787872 5787873 5787876 5787877 5787878 5787879 5787880 5787881;Em trânsito;Matheus Antonioli
77945;LSP REIS MATRIZ SJC;12/09/2025;DKI9I63;Guarulhos, São Paulo;20;21;1309;1309;0;652;43867;833;833;81;573729;573940;211;Marfrig ( BRF );;Finalizado;Juliana Curi Ferreira
77946;LSP REIS MATRIZ SJC;12/09/2025;GCG7C64;;1;0;0;0;0;393;515;0;515;0;422693;422857;164;MINERVA;PERNOITE PPJ1D69 NFS ALOCADAS: 5788031 5788046 5788047 5788048 5788049 5788050 5788051;Em trânsito;Matheus Antonioli
77947;LSP REIS MATRIZ SJC;12/09/2025;TBQ6G46;Suzano, Ferraz de Vasconcelos;2;3;2087;2087;0;0;71307;1328;1328;104;8488;8648;160;Marfrig ( BRF );;Finalizado;Henrique Praxedes
77948;LSP REIS MATRIZ SJC;12/09/2025;QRG6I80;Mogi das Cruzes;13;15;1508;1508;0;645;43198;961;961;100;279695;279900;205;Marfrig ( BRF );;Finalizado;Juliana Curi Ferreira
77949;LSP REIS MATRIZ SJC;12/09/2025;FIG5H60;São José dos Campos, Jacareí, Arujá;23;24;1288;1288;0;704;44316;819;819;51;348989;349149;160;Marfrig ( BRF );;Finalizado;Juliana Curi Ferreira
77950;LSP REIS MATRIZ SJC;12/09/2025;EBP2I40;Taubaté, Pindamonhangaba, Caçapava;18;21;2490;2490;0;0;72377;1584;1584;113;436803;436981;178;Marfrig ( BRF );;Em trânsito;Juliana Curi Ferreira
77951;LSP REIS MATRIZ SJC;12/09/2025;FWG7E97;Suzano;1;3;5119;5119;0;0;190663;3258;3258;102;435429;435586;157;Marfrig ( BRF );;Finalizado;Henrique Praxedes
77952;LSP REIS MATRIZ SJC;12/09/2025;PPJ1D69;São José dos Campos, Caçapava;15;15;1069;1069;0;585;28165;680;680;71;343208;343358;150;Marfrig ( BRF );;Finalizado;Juliana Curi Ferreira
